C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
IC1:1
IC2:1
IC3:1
J1:1
J3:1
J4:1
L1:1
LED1:1
R1:1
R2:1
R3:1
R4:1
S1:1
X1:1
